Date,Open,High,Low,Close,Adj Close,Volume
30-03-16,8.151,8.316,8.118,8.2335,7.153883979,277134
31-03-16,8.283,8.2995,8.0355,8.151,7.082201511,197802
01-04-16,7.986,8.052,7.887,7.953,6.910164558,188595
06-04-16,7.854,7.8705,7.623,7.623,6.623435247,270204
07-04-16,7.6725,7.821,7.557,7.557,6.566090091,281754
08-04-16,7.524,7.6395,7.524,7.5735,6.58042638,168597
11-04-16,7.689,7.7385,7.59,7.656,6.652108848,203973
12-04-16,7.689,7.722,7.3095,7.326,6.365380065,215193
13-04-16,7.425,7.524,7.392,7.4415,6.465734583,221529
14-04-16,7.656,7.722,7.557,7.623,6.623435247,217371
15-04-16,7.689,7.7715,7.6725,7.722,6.709454004,171270
18-04-16,7.788,7.788,7.6065,7.7385,6.723790293,90156
19-04-16,7.821,7.854,7.656,7.6725,6.666444642,99528
20-04-16,7.7715,7.821,7.6395,7.656,6.652108848,154143
21-04-16,7.722,7.788,7.6395,7.722,6.709454004,101442
22-04-16,7.7385,7.755,7.524,7.59,6.594763197,115698
25-04-16,7.59,7.6065,7.392,7.524,6.537417018,119757
26-04-16,7.59,7.8375,7.59,7.8045,6.781136439,413886
27-04-16,7.821,8.118,7.7385,7.986,6.938837136,370128
28-04-16,8.085,8.085,7.788,7.788,6.76680015,215160
29-04-16,7.722,7.722,7.5735,7.59,6.594763197,185460
03-05-16,6.864,7.0785,6.864,6.963,6.049978176,650364
04-05-16,6.93,6.963,6.6,6.6495,5.777585682,563772
05-05-16,6.633,6.7815,6.6,6.699,5.820594549,260931
06-05-16,6.6165,6.633,6.336,6.336,5.505193188,799854
09-05-16,6.4845,6.6495,6.468,6.468,5.61988449,507045
10-05-16,6.567,6.732,6.501,6.732,5.849268117,300927
11-05-16,6.798,6.864,6.6,6.6,5.73457632,209022
12-05-16,6.6165,6.699,6.6,6.6,5.73457632,122430
13-05-16,6.6,6.6,6.6,6.6,5.73457632,0
16-05-16,6.897,6.9135,6.6495,6.6495,5.777585682,332508
17-05-16,6.7155,6.7155,6.6,6.6825,5.806258755,165363
18-05-16,6.633,6.732,6.6165,6.7155,5.834931333,143616
19-05-16,6.732,6.7485,6.6,6.6,5.73457632,132891
20-05-16,6.6495,6.7155,6.6,6.666,5.791921971,132066
23-05-16,6.732,6.996,6.699,6.93,6.021305103,286407
24-05-16,6.996,7.029,6.864,6.897,5.992631502,172953
25-05-16,7.029,7.062,6.9465,6.963,6.049978176,154275
26-05-16,7.0455,7.128,6.9795,7.062,6.135996933,263472
27-05-16,7.128,7.1445,6.9795,7.0125,6.092987043,148335
30-05-16,7.029,7.2435,7.029,7.1445,6.207679368,260898
31-05-16,7.3095,7.425,7.194,7.26,6.308033886,567963
01-06-16,7.26,7.359,7.2435,7.326,6.365380065,160116
02-06-16,7.425,7.4415,7.0785,7.095,6.164670006,383130
03-06-16,7.128,7.227,7.128,7.227,6.279361308,177309
04-06-16,7.128,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
06-06-16,7.491,7.656,7.491,7.5735,6.58042638,489819
07-06-16,7.788,7.821,7.623,7.689,6.680781921,403590
08-06-16,7.755,7.7715,7.524,7.59,6.594763197,409431
13-06-16,7.4415,7.491,7.26,7.26,6.308033886,366696
14-06-16,7.26,7.491,7.2105,7.425,6.451398294,388476
15-06-16,7.425,7.656,7.425,7.6065,6.609099486,304359
16-06-16,7.623,7.623,7.458,7.458,6.480071367,222651
17-06-16,7.524,7.557,7.4745,7.491,6.50874444,242154
20-06-16,7.5735,7.5735,7.4745,7.5075,6.523080729,135729
21-06-16,7.5405,7.6395,7.5075,7.5735,6.58042638,228030
22-06-16,7.656,7.656,7.5405,7.557,6.566090091,155595
23-06-16,7.557,7.5735,7.491,7.524,6.537417018,78969
24-06-16,7.5405,7.557,7.194,7.3755,6.408388932,298848
27-06-16,7.3755,7.557,7.326,7.4745,6.494407656,148368
28-06-16,7.3755,7.557,7.3095,7.557,6.566090091,226941
29-06-16,7.59,7.9695,7.557,7.8375,6.809809017,496155
30-06-16,8.0025,8.0685,7.92,8.052,6.996182787,648582
01-07-16,8.1345,8.1675,8.019,8.085,7.02485586,469887
04-07-16,8.1015,8.481,8.1015,8.4315,7.325921955,551001
05-07-16,8.382,8.382,8.085,8.085,7.02485586,360261
06-07-16,7.92,7.986,7.821,7.821,6.795473223,350592
07-07-16,7.9035,7.9695,7.8375,7.854,6.824145801,169257
08-07-16,7.9035,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
11-07-16,8.151,8.1675,8.052,8.151,7.082201511,326205
12-07-16,8.217,8.2665,8.1675,8.184,7.110874617,282546
13-07-16,8.25,8.25,8.1015,8.151,7.082201511,207669
14-07-16,8.1675,8.1675,8.085,8.118,7.053529461,421707
15-07-16,7.821,7.92,7.788,7.9035,7.188597009,450813
18-07-16,7.9365,7.9695,7.8705,7.92,7.203604023,166188
19-07-16,7.953,7.953,7.854,7.92,7.203604023,163449
20-07-16,7.887,7.887,7.788,7.854,7.143573987,245223
21-07-16,7.9035,7.9365,7.7385,7.7715,7.068536442,275352
22-07-16,7.8375,7.854,7.755,7.788,7.083543951,171666
25-07-16,7.854,7.8705,7.7385,7.788,7.083543951,109428
26-07-16,7.7715,7.953,7.722,7.953,7.233619041,283470
27-07-16,8.118,8.118,7.887,7.92,7.203604023,471537
28-07-16,7.92,8.052,7.854,8.052,7.323664062,201531
29-07-16,8.085,8.118,7.986,8.0355,7.308656586,203841
01-08-16,8.1015,8.2335,8.0355,8.217,7.473739152,263505
02-08-16,8.2335,8.283,8.151,8.25,7.50375417,288321
03-08-16,8.118,8.217,8.1015,8.217,7.473739152,182061
04-08-16,8.283,8.283,7.9035,8.0025,7.278642063,478566
05-08-16,8.0025,8.217,8.0025,8.217,7.473739152,269412
08-08-16,8.283,8.283,8.184,8.2005,7.458732138,190344
09-08-16,8.2335,8.25,8.184,8.25,7.50375417,130350
10-08-16,8.283,8.283,8.2005,8.25,7.50375417,101178
11-08-16,8.2665,8.2665,8.085,8.2005,7.458732138,128568
12-08-16,8.25,8.283,8.1675,8.217,7.473739152,98967
15-08-16,8.25,8.2665,8.1675,8.217,7.473739152,82797
16-08-16,8.2335,8.2335,8.1015,8.2335,7.488746661,125697
17-08-16,8.2335,8.3655,8.217,8.2665,7.518761679,288288
18-08-16,8.283,8.316,8.217,8.25,7.50375417,124509
19-08-16,8.25,8.25,8.085,8.085,7.35367908,176880
22-08-16,8.085,8.184,7.986,8.019,7.293649077,170214
23-08-16,8.0025,8.1015,8.0025,8.052,7.323664062,127182
24-08-16,8.052,8.1015,7.953,7.953,7.233619041,112860
25-08-16,7.986,8.052,7.9695,8.019,7.293649077,159621
26-08-16,8.0685,8.085,7.986,8.0355,7.308656586,113652
29-08-16,8.085,8.1015,7.986,8.0685,7.338672099,140085
30-08-16,8.1345,8.2335,8.1015,8.2335,7.488746661,139590
31-08-16,8.2335,8.283,8.1675,8.25,7.50375417,203313
01-09-16,8.316,8.316,8.2005,8.2665,7.518761679,184470
02-09-16,8.25,8.283,8.085,8.085,7.35367908,136290
05-09-16,8.25,8.481,8.25,8.4645,7.698851754,426261
